               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057586,            0.023675,           0.0018863,             0.50327,             0.53638,             0.47353,             0.16957,            0.059835,            0.024177,           0.0018989,            0.006535,            0.006535,            0.006535
                  37,            0.060203,            0.026434,           0.0019826,             0.50327,             0.53638,             0.47353,             0.16957,            0.059835,            0.024177,           0.0018989,            0.006436,            0.006436,            0.006436
                  38,            0.059779,             0.02683,           0.0020322,             0.56027,             0.53298,             0.51104,             0.17308,            0.059202,            0.024074,           0.0018206,            0.006337,            0.006337,            0.006337
                  39,            0.058229,            0.028448,           0.0019741,             0.62162,             0.51542,             0.54481,             0.16151,            0.059271,            0.024385,           0.0019282,            0.006238,            0.006238,            0.006238
                  40,            0.060077,            0.029145,           0.0019117,             0.57681,             0.56863,             0.56869,             0.17157,             0.05838,            0.023699,           0.0016128,            0.006139,            0.006139,            0.006139
                  41,            0.059253,            0.026147,           0.0017679,             0.49236,             0.59477,             0.49291,             0.14697,            0.065829,            0.023411,           0.0016193,             0.00604,             0.00604,             0.00604
                  42,            0.065066,            0.028768,           0.0019179,             0.71514,             0.69281,             0.71846,             0.24656,            0.052303,            0.022906,           0.0015504,            0.005941,            0.005941,            0.005941
                  43,            0.061275,            0.029251,           0.0021684,             0.58529,             0.71952,             0.62694,             0.22372,            0.055605,            0.021581,            0.001495,            0.005842,            0.005842,            0.005842
                  44,            0.061343,            0.028224,           0.0020968,              0.7092,             0.65354,             0.69277,               0.251,            0.054402,            0.021897,           0.0014548,            0.005743,            0.005743,            0.005743
                  45,              0.0584,            0.023884,           0.0019387,              0.7092,             0.65354,             0.69277,               0.251,            0.054402,            0.021897,           0.0014548,            0.005644,            0.005644,            0.005644
                  46,            0.065384,            0.024626,           0.0019548,             0.67908,              0.6362,             0.66478,             0.21537,             0.05763,             0.02149,           0.0014896,            0.005545,            0.005545,            0.005545
                  47,            0.061799,            0.028498,           0.0018758,             0.71759,             0.71895,             0.72877,             0.26552,            0.051437,            0.021846,           0.0015461,            0.005446,            0.005446,            0.005446
                  48,            0.057512,            0.024775,           0.0017998,             0.80394,             0.69682,             0.77425,             0.28608,            0.051238,            0.021537,           0.0016298,            0.005347,            0.005347,            0.005347
                  49,             0.05388,            0.024625,           0.0018875,             0.70359,             0.71242,             0.74472,             0.25702,            0.055062,            0.021737,            0.001633,            0.005248,            0.005248,            0.005248
                  50,            0.055245,             0.02589,           0.0018897,             0.62641,             0.69044,             0.66815,             0.18058,            0.058669,             0.02108,           0.0015953,            0.005149,            0.005149,            0.005149
                  51,            0.056536,            0.030538,           0.0018732,             0.67463,             0.64706,             0.67976,             0.24435,            0.052443,            0.021305,            0.001618,             0.00505,             0.00505,             0.00505
